version,tamaño_matriz,tiempo_wall,speedup
secuencial,100,0.003292,1
secuencial,100,0.003253,1
secuencial,100,0.003202,1
secuencial,100,0.003138,1
secuencial,100,0.003246,1
optimized,100,0.004998,.64549819927971188475
optimized,100,0.004937,.65347376949564512862
optimized,100,0.005024,.64215764331210191082
optimized,100,0.006427,.50197603858721020693
optimized,100,0.004613,.69937134185996097983
parallel,100,0.000778,4.14678663239074550128
parallel,100,0.000874,3.69130434782608695652
parallel,100,0.000776,4.15747422680412371134
parallel,100,0.000762,4.23385826771653543307
parallel,100,0.000740,4.35972972972972972972
blocking,100,0.000557,5.79210053859964093357
blocking,100,0.000591,5.45888324873096446700
blocking,100,0.000560,5.76107142857142857142
blocking,100,0.000539,5.98552875695732838589
blocking,100,0.000973,3.31572456320657759506
seq_omp,100,0.000455,7.09054945054945054945
seq_omp,100,0.000496,6.50443548387096774193
seq_omp,100,0.000445,7.24988764044943820224
seq_omp,100,0.000613,5.26296900489396411092
seq_omp,100,0.000593,5.44047217537942664418
blocking_seq,100,0.000557,5.79210053859964093357
blocking_seq,100,0.000537,6.00782122905027932960
blocking_seq,100,0.000600,5.37700000000000000000
blocking_seq,100,0.000706,4.56968838526912181303
blocking_seq,100,0.000615,5.24585365853658536585
secuencial,200,0.025586,1
secuencial,200,0.025230,1
secuencial,200,0.025186,1
secuencial,200,0.025721,1
secuencial,200,0.025464,1
optimized,200,0.005777,4.40321966418556344123
optimized,200,0.006109,4.16392208217384187264
optimized,200,0.006144,4.14020182291666666666
optimized,200,0.005908,4.30558564658090724441
optimized,200,0.011521,2.20791597951566704279
parallel,200,0.003823,6.65377975411980120324
parallel,200,0.003728,6.82333690987124463519
parallel,200,0.006513,3.90563488407799785045
parallel,200,0.004256,5.97683270676691729323
parallel,200,0.004217,6.03210813374436803414
blocking,200,0.001628,15.62493857493857493857
blocking,200,0.001436,17.71406685236768802228
blocking,200,0.001698,14.98080094228504122497
blocking,200,0.002561,9.93260445138617727450
blocking,200,0.001734,14.66978085351787773933
seq_omp,200,0.001710,14.87567251461988304093
seq_omp,200,0.001448,17.56726519337016574585
seq_omp,200,0.001394,18.24777618364418938307
seq_omp,200,0.001605,15.84884735202492211838
seq_omp,200,0.001703,14.93681738109219025249
blocking_seq,200,0.004315,5.89511008111239860950
blocking_seq,200,0.004350,5.84767816091954022988
blocking_seq,200,0.004416,5.76028079710144927536
blocking_seq,200,0.004398,5.78385629831741700773
blocking_seq,200,0.004313,5.89784372826338975191
secuencial,400,0.204893,1
secuencial,400,0.206542,1
secuencial,400,0.203728,1
secuencial,400,0.203485,1
secuencial,400,0.223778,1
optimized,400,0.043838,4.75581002782973675806
optimized,400,0.041445,5.03040656291470623718
optimized,400,0.043455,4.79772638361523415027
optimized,400,0.043797,4.76026211840993675365
optimized,400,0.043731,4.76744643387985639477
parallel,400,0.029588,7.04627551710152764634
parallel,400,0.027299,7.63710026008278691527
parallel,400,0.028724,7.25822308870630831360
parallel,400,0.028255,7.37870111484692974694
parallel,400,0.028891,7.21626804195078051988
blocking,400,0.008876,23.48864353312302839116
blocking,400,0.008528,24.44713883677298311444
blocking,400,0.008853,23.54966677962272675929
blocking,400,0.008816,23.64850272232304900181
blocking,400,0.009167,22.74301298134613286789
seq_omp,400,0.010003,20.84226731980405878236
seq_omp,400,0.011779,17.69973681976398675609
seq_omp,400,0.011721,17.78732190086170122003
seq_omp,400,0.011786,17.68922450364839640251
seq_omp,400,0.009878,21.10601336302895322939
blocking_seq,400,0.035511,5.87100335107431500098
blocking_seq,400,0.034677,6.01220405456065980332
blocking_seq,400,0.034806,5.98992127794058495661
blocking_seq,400,0.034711,6.00631500100832589092
blocking_seq,400,0.035049,5.94839225084881166367
secuencial,800,1.731639,1
secuencial,800,1.643158,1
secuencial,800,1.634887,1
secuencial,800,1.711153,1
secuencial,800,1.635092,1
optimized,800,-0.545266,-3.06490006712320225357
optimized,800,0.297793,5.61190424220851396775
optimized,800,0.296247,5.64119062809074859829
optimized,800,0.342444,4.88017252455875997243
optimized,800,0.308706,5.41351901161623032918
parallel,800,0.230542,7.24894292580093865759
parallel,800,0.225449,7.41269998979813616383
parallel,800,0.221142,7.55707102223910428593
parallel,800,0.223858,7.46538341269912176469
parallel,800,0.223237,7.48615059331562420208
blocking,800,0.064362,25.96541126751810074267
blocking,800,0.059109,28.27294997377725896225
blocking,800,0.057615,29.00608869218085567994
blocking,800,0.063059,26.50193945352764870993
blocking,800,0.061784,27.04884436099961154991
seq_omp,800,0.090468,18.47267321041694300747
seq_omp,800,0.081275,20.56211381113503537373
seq_omp,800,0.081295,20.55705516944461528999
seq_omp,800,0.081402,20.53003366010663128670
seq_omp,800,0.089137,18.74850847571715449252
blocking_seq,800,0.285478,5.85399155101268749255
blocking_seq,800,0.286736,5.82830826962781094804
blocking_seq,800,0.287925,5.80423999305374663540
blocking_seq,800,0.285613,5.85122455910620314901
blocking_seq,800,0.289731,5.76806002809502607591
secuencial,1600,15.639942,1
secuencial,1600,14.537166,1
secuencial,1600,15.923743,1
secuencial,1600,14.615013,1
secuencial,1600,15.530712,1
optimized,1600,2.346484,6.49879359927448898010
optimized,1600,2.489560,6.12530535516316136184
optimized,1600,2.533551,6.01894937185002393873
optimized,1600,2.393832,6.37025288324326853346
optimized,1600,2.341810,6.51176448986040712098
parallel,1600,1.700341,8.96838645895146914648
parallel,1600,2.640885,5.77432004801420735851
parallel,1600,2.629193,5.79999840255165748577
parallel,1600,2.641300,5.77341278915685457918
parallel,1600,2.444564,6.23805112077245676529
blocking,1600,0.479076,31.83068072706626923494
blocking,1600,0.510605,29.86518972591337726814
blocking,1600,0.483295,31.55280977456832783289
blocking,1600,0.501748,30.39237864425966819997
blocking,1600,0.520506,29.29709782404045294386
seq_omp,1600,1.640751,9.29410690592295845012
seq_omp,1600,1.690281,9.02176336360640627209
seq_omp,1600,1.876128,8.12807825478858585341
seq_omp,1600,1.536010,9.92787494873080253383
seq_omp,1600,1.874566,8.13485105352385565512
blocking_seq,1600,2.342123,6.51089426131761653849
blocking_seq,1600,2.348759,6.49249888983927256904
blocking_seq,1600,2.353472,6.47949718543496587169
blocking_seq,1600,1.455189,10.47926777896204548000
blocking_seq,1600,2.356542,6.47105597948180002732
secuencial,3200,177.762204,1
secuencial,3200,153.823795,1
secuencial,3200,168.554294,1
secuencial,3200,177.254233,1
secuencial,3200,457.429668,1
optimized,3200,17.181077,13.21016364690059883905
optimized,3200,19.618356,11.56900398789786463249
optimized,3200,18.751185,12.10402642819640465389
optimized,3200,18.408828,12.32913028466559631063
optimized,3200,19.603443,11.57780491926851829038
parallel,3200,29.008661,7.82403706258623933038
parallel,3200,29.276988,7.75232885295440910793
parallel,3200,29.205666,7.77126050814934335001
parallel,3200,29.147217,7.78684423970906038816
parallel,3200,29.770783,7.62374435365035578674
blocking,3200,4.123001,55.04845591839536298924
blocking,3200,4.003107,56.69717017306806937711
blocking,3200,4.077087,55.66838254861865837054
blocking,3200,3.869751,58.65101883816297224291
blocking,3200,3.015415,75.26819320060422860534
seq_omp,3200,28.895845,7.85458389605841255031
seq_omp,3200,29.545517,7.68187061339965721364
seq_omp,3200,29.896544,7.59167477016741466839
seq_omp,3200,29.482444,7.69830475383926787073
seq_omp,3200,29.086003,7.80323232449642530807
blocking_seq,3200,18.009867,12.60224957796745528437
blocking_seq,3200,18.009356,12.60260715596937502929
blocking_seq,3200,19.054828,11.91114602556370490460
blocking_seq,3200,18.003382,12.60678903552676935922
blocking_seq,3200,19.034099,11.92411780562872978647
